Name mit Ort,Name ohne Ort,Ort,GKZ,Globale ID,MVTT X,MVTT Y,WGS84 X,WGS84 Y
1,Karlsplatz (Stachus),Karlsplatz (Stachus),Muenchen,9162000,de:09162:1,4467762,826427,48.13936537,11.56538647
2,Marienplatz,Marienplatz,Muenchen,9162000,de:09162:2,4468673,826758,48.13643422,11.57765115
3,Isartor,Isartor,Muenchen,9162000,de:09162:3,4469056,827043,48.13388994,11.58281763
4,Rosenheimer Platz,Rosenheimer Platz,Muenchen,9162000,de:09162:4,4469877,827637,48.12858746,11.59388958
5,Ostbahnhof,Ostbahnhof,Muenchen,9162000,de:09162:5,4470634,827691,48.12813726,11.60406235
6,Hauptbahnhof,Hauptbahnhof,Muenchen,9162000,de:09162:6,4467444,826320,48.14031142,11.56110561
7,Hackerbruecke,Hackerbruecke,Muenchen,9162000,de:09162:7,4466528,825956,48.14353731,11.54876929
8,Donnersbergerbruecke,Donnersbergerbruecke,Muenchen,9162000,de:09162:8,4465474,826046,48.14267154,11.53461386
9,Laim,Laim,Muenchen,9162000,de:09162:9,4463135,825981,48.1431247,11.50317942
10,Pasing,Pasing,Muenchen,9162000,de:09162:10,4459973,825325,48.14883279,11.46063024
11,Leonrodplatz,Leonrodplatz,Muenchen,9162000,de:09162:11,4466438,824185,48.15945926,11.54742011
12,Hochschule Muenchen (Lothstr.),Hochschule Muenchen (Lothstr.),Muenchen,9162000,de:09162:12,4466911,824765,48.15426811,11.55382302
13,Sandstrasse,Sandstrasse,Muenchen,9162000,de:09162:13,4467227,825177,48.15057935,11.55810182
15,Karlstrasse,Karlstrasse,Muenchen,9162000,de:09162:15,4467337,825823,48.14477549,11.55962974
16,Lenbachplatz,Lenbachplatz,Muenchen,9162000,de:09162:16,4467981,826262,48.1408603,11.56831656
17,Nationaltheater,Nationaltheater,Muenchen,9162000,de:09162:17,4468748,826433,48.13936067,11.57863492
18,Kammerspiele,Kammerspiele,Muenchen,9162000,de:09162:18,4469077,826528,48.13852242,11.58306231
19,Maxmonument,Maxmonument,Muenchen,9162000,de:09162:19,4469450,826638,48.13755122,11.58808181
20,Marienplatz (Theatinerstr.),Marienplatz (Theatinerstr.),Muenchen,9162000,de:09162:20,4468500,826418,48.13948332,11.57530165
20,Theatinerstrasse,Theatinerstrasse,Muenchen,9162000,de:09162:20,4468500,826418,48.13948332,11.57530165
21,Maximilianeum,Maximilianeum,Muenchen,9162000,de:09162:21,4470035,826806,48.13606823,11.59595351
22,Flurstrasse,Flurstrasse,Muenchen,9162000,de:09162:22,4470693,826859,48.13562229,11.60479759
23,Grillparzerstrasse,Grillparzerstrasse,Muenchen,9162000,de:09162:23,4471016,826784,48.13631159,11.60913205
24,Prinzregenten-/Grillparzerstr.,Prinzregenten-/Grillparzerstr.,Muenchen,9162000,de:09162:24,,,,
25,Alter Messeplatz,Alter Messeplatz,Muenchen,9162000,de:09162:25,4466337,826954,48.13455213,11.54628178
26,Isartor/Zweibrueckenstrasse,Isartor/Zweibrueckenstrasse,Muenchen,9162000,de:09162:26,4469113,827168,48.13276857,11.58359248
27,Ridlerstrasse,Ridlerstrasse,Muenchen,9162000,de:09162:27,4465810,827383,48.13066597,11.53923611
29,Landshuter Allee,Landshuter Allee,Muenchen,9162000,de:09162:29,4465653,825042,48.15171026,11.53693796
30,Poccistrasse,Poccistrasse,Muenchen,9162000,de:09162:30,4466579,828008,48.12508618,11.54961578
31,Hirschgarten,Hirschgarten,Muenchen,9162000,de:09162:31,4464348,825945,48.14351766,11.51947547
32,Hochschule Muenchen,Hochschule Muenchen,Muenchen,9162000,de:09162:32,4466872,824640,48.15539021,11.55328912
34,Nordbad,Nordbad,Muenchen,9162000,de:09162:34,4467628,824029,48.16092396,11.56340341
35,Goerresstrasse,Goerresstrasse,Muenchen,9162000,de:09162:35,4467535,824578,48.15598202,11.56219528
36,Georgenstrasse,Georgenstrasse,Muenchen,9162000,de:09162:36,4469116,824678,48.15516157,11.58345191
38,Muellerstrasse,Muellerstrasse,Muenchen,9162000,de:09162:38,4468213,827319,48.13136624,11.57151281
40,Goetheplatz,Goetheplatz,Muenchen,9162000,de:09162:40,4467236,827516,48.12954498,11.55840296
41,Eduard-Schmid-Strasse,Eduard-Schmid-Strasse,Muenchen,9162000,de:09162:41,4468724,827889,48.1262655,11.57841949
42,Mariahilfplatz,Mariahilfplatz,Muenchen,9162000,de:09162:42,4468920,828103,48.12435058,11.58106793
43,Kurfuerstenplatz,Kurfuerstenplatz,Muenchen,9162000,de:09162:43,4468488,824099,48.16033771,11.5749685
44,Winzererstrasse,Winzererstrasse,Muenchen,9162000,de:09162:44,4467378,824387,48.15769165,11.56007047
45,Infanteriestrasse Sued,Infanteriestrasse Sued,Muenchen,9162000,de:09162:45,4467289,824519,48.15649999,11.55888439
46,Haidenauplatz,Haidenauplatz,Muenchen,9162000,de:09162:46,4471083,827214,48.13244758,11.61006145
47,Elisabethplatz,Elisabethplatz,Muenchen,9162000,de:09162:47,4468489,824399,48.15763984,11.57500419
48,Nordendstrasse,Nordendstrasse,Muenchen,9162000,de:09162:48,4468517,824706,48.15488035,11.57540328
49,Schellingstrasse,Schellingstrasse,Muenchen,9162000,de:09162:49,4468355,825134,48.15102326,11.57325784
50,Sendlinger Tor,Sendlinger Tor,Muenchen,9162000,de:09162:50,4467833,827102,48.13329862,11.56639148
51,Pinakotheken,Pinakotheken,Muenchen,9162000,de:09162:51,4468206,825472,48.14797615,11.57128069
52,Karolinenplatz,Karolinenplatz,Muenchen,9162000,de:09162:52,4468080,825760,48.14537982,11.56960908
53,Ottostrasse,Ottostrasse,Muenchen,9162000,de:09162:53,4467941,826098,48.14233316,11.56776673
54,Donnersbergerstrasse,Donnersbergerstrasse,Muenchen,9162000,de:09162:54,4465571,825645,48.14628301,11.53588477
55,Hermann-Lingg-Strasse,Hermann-Lingg-Strasse,Muenchen,9162000,de:09162:55,4466739,826458,48.13903386,11.55164379
56,Georg-Hirth-Platz,Georg-Hirth-Platz,Muenchen,9162000,de:09162:56,4467063,826952,48.13460815,11.5560353
57,Beethovenplatz,Beethovenplatz,Muenchen,9162000,de:09162:57,4467209,827115,48.13314983,11.55800935
